Type;Reference;DOI
Literature;Araújo, R., Assis, J., Aguillar, R., Airoldi, L., Bárbara, I., Bartsch, I., Bekkby, T., Christie, H., Davoult, D., Derrien-courtel, S., Fernandez, C., Fredriksen, S., Gevaert, F., Gundersen, H., Le Gal, A., Lévêque, L., Mieszkowska, N., Norderhaug, K., Oliveira, P., Puente, A., Rico, J., Rinde, E., Schubert, H., Strain, E., Valero, M., Viard, F. & Sousa-pinto, I. Status, Trends And Drivers Of Kelp Forests In Europe: An Expert Assessment. Biodivers. Conserv. 25: 7, 1319-1348 (2016) ;10.1007/s10531-016-1141-7
Literature;Blain, C. & Gagnon, P. Canopy-forming Seaweeds In Urchin-dominated Systems In Eastern Canada: Structuring Forces Or Simple Prey For Keystone Grazers?. PLoS ONE 9: 5, e98204 (2014) ;10.1371/journal.pone.0098204
Literature;Brattegard, T. & Holthe, T.  Distribution Of Marine, Benthic Macro-organisms In Norway: A Tabulated Catalogue. Direktoratet For Naturforvaltning: Trondheim. ISBN 82-7072-251-0. 321.(1997);
Literature;Gagnon, P., Himmelman, J. & Johnson, L. Temporal Variation In Community Interfaces: Kelp-bed Boundary Dynamics Adjacent To Persistent Urchin Barrens. Mar. Biol. 144: 6, 1191-1203 (2004) ;10.1007/s00227-003-1270-x
Literature;Gulliksen, B., Palerud, R. & Brattegard T. Distribution Of Marine Benthic Macro-organisms At Svalbard (including Bear Island) And Jan Mayen. 148 pp (1999) ;
Literature;Himmelman, J., Cardinal, A. & Bourget, E. Community Development Following Removal Of Urchins, Strongylocentrotus Droebachiensis, From The Rocky Subtidal Zone Of The St. Lawrence Estuary, Eastern Canada. Oecologia 59: 1, 27-39 (2004) ;10.1007f00388068
Literature;Küpper, F., Peters, A., Shewring, D., Sayer, M., Mystikou, A., Brown, H., Azzopardi, E., Dargent, O., Strittmatter, M., Brennan, D., Asensi, A., Van West, P. & Wilce, R. Arctic Marine Phytobenthos Of Northern Baffin Island. J. Phycol. 52: 4, 532-549 (2016) ;10.1111/jpy.12417
Literature;Krause-jensen, D., Marbà, N., Olesen, B., Sejr, M., Christensen, P., Rodrigues, J., Renaud, P., Balsby, T. & Rysgaard, S. Seasonal Sea Ice Cover As Principal Driver Of Spatial And Temporal Variation In Depth Extension And Annual Production Of Kelp In Greenland. Glob. Chang. Biol. 18: 10, 2981-2994 (2012) ;10.1111/j.1365-2486.2012.02765.x
Literature;A Catalogue Of The Marine Algae Of The Canadian Arctic. Deep Sea Res. Part B 27: 12, 890 (2003) ;10.1016/0198-0254(80)96027-6
Literature;Merzouk, A. & Johnson, L. Kelp Distribution In The Northwest Atlantic Ocean Under A Changing Climate. J. Exp. Mar. Biol. Ecol. 400: 1-2, 90-98 (2011) ;10.1016/j.jembe.2011.02.020
Literature;Müller, R., Laepple, T., Bartsch, I. & Wiencke, C. Impact Of Oceanic Warming On The Distribution Of Seaweeds In Polar And Cold-temperate Waters. Bot. Mar. 52: 6 (2009) ;10.1515ot.2009.080
Literature;Tzetlin, A. B., Mokievsky, V. O., Melnikov, A. N., Saphonov, M. V., Simdyanov, T. G. & Ivanov I. E. Fauna Associated With Detached Kelp In Different Types Of Subtidal Habitats Of The White Sea. Interactions And Adaptation Strategies Of Marine Organisms, pp.91-100 (2013);
Literature;Olsen, J., Zechman, F., Hoarau, G., Coyer, J., Stam, W., Valero, M. & Åberg, P. The Phylogeographic Architecture Of The Fucoid Seaweed Ascophyllum Nodosum: An Intertidal ‘marine Tree’ And Survivor Of More Than One Glacial-interglacial Cycle. J. Biogeogr. 37: 5, 842-856 (2010) ;10.1111/j.1365-2699.2009.02262.x
Literature;Pérez-Ruzafa, I. & Gallardo, T. Mapas de distribución de algas marinas de la Península Ibérica e Islas Baleares. XII. Adiciones al Orden Fucales (Fucophyceae). Bot. Complutensis 22, 187-192 (1998).;10.5209/rev_bocm.2011.v35.16
Literature;Jones, W. & Williams, R. The Seaweeds Of Dale. Field Studies 2: 3, 303–330 (1966).;
Literature;Martinez, J. & Adarraga, I. Programa De Vigilancia, Control De La Introduccion De Especies Invasoras En Los Ecosistemas Litorales De La Costa Vasca. 1. Costa De Gipuzkoa (Departamento De Medio Ambiente, Ordenacion Del Territorio, Gobierno Vasco, 2005).;
Literature;Calderón, I., Giribet, G. & Turon, X. Two Markers And One History: Phylogeography Of The Edible Common Sea Urchin Paracentrotus Lividus In The Lusitanian Region. Mar. Biol. 154: 1, 137-151 (2008) ;10.1007/s00227-008-0908-0
Literature;Barceló, M., Gómez Garreta, A., Rull Lluch, J. & Ribera, M. Mapas de distribución de algas marinas de la Península Ibérica e Islas Baleares. VI. Cystoseira. C. Agardh: Grupos C. spinifero-opuntioides y C. discors-abrotanifolioides. Botanica Complutensis 19, 119-130 (1994).;
Literature;Rull Lluch, J., Gómez Garreta, A., Barceló, M. & Ribera, M. Mapas de distribución de algas marinas de la Península Ibérica e Islas Baleares. VII. Cystoseira C. Agardh (Grupo C. baccata) y Sargassum C. Agardh (S. muticum y S. vulgare). Botanica Complutensis 19, 131-138 (1994).;
Literature;Gómez Garreta, A., Ribera, M., Barceló, M. & Rull Lluch, J. Mapas de distribución de algas marinas de la Península Ibérica e Islas Baleares. V. Cystoseira C. Agardh: Grupos C. ericaefolia y C. erinito-selaginoides. Botanica Complutensis 19, 109-118 (1994) ;
Literature;Ribera, G., Coloreu, M., Rodríguez-Prieto, C. & Ballesteros, E. Phytobenthic Assemblages of Addaia Bay (Menorca, Western Mediterranean): Composition and Distribution. Bot. Mar. 40: 1-6, 523-532 (1997) ;10.1515/botm.1997.40.1-6.523
Literature;Christia, C., Tziortzis, I., Fyttis, G., Kashta, L. & Papastergiadou, E. A survey of the benthic aquatic flora in transitional water systems of Greece and Cyprus (Mediterranean Sea). Bot. Mar. 54: 2, 169–178 (2011).;10.1515/bot.2011.016
Literature;Bolton, J., Anderson, R., Smit, A. & Rothman, M. South African kelp moving eastwards: the discovery of Ecklonia maxima (Osbeck) Papenfuss at De Hoop Nature Reserve on the south coast of South Africa. Afr. J. Mar. Sci. 34: 1, 147-151 (2012).;10.2989/1814232x.2012.675125
Literature;Bright, K. & Bright, K. The South African Intertidal Zone And Its Relation To Ocean Currents. III.—An Area on the Northern Part of the West Coast. T. Roy. Soc. S. Afr. 26: 1, 67-88 (1938).;10.1080/00359193809519770
Literature;Department of Agriculture, Forestry and Fisheries. Draft policy on the allocation and management of fishing rights in the Hake Inshore Trawl Fishery. Published in GG 38871 Notice Number 496 (2015);
Literature;Gunster A. A. Contribution To The Algal Phytogeography Of The Southern African West Coast - A Case Study At Elizabeth Bay, Namibia. Dinteria 24, 29–37 (1994) ;
Literature;Papenfuss, G. & Papenfuss, G. Studies Of South African Phaeophyceae. I. Ecklonia Maxima, Laminaria Pallida, Macrocystis Pyrifera. Am. J. Bot. 29: 1, 15 (2006) ;10.2307/2436539
Literature;Rengasamy, K., Kulkarni, M., Stirk, W. & Van Staden, J. Eckol - A New Plant Growth Stimulant From The Brown Seaweed Ecklonia Maxima. J. Appl. Phycol. 27: 1, 581-587 (2014) ;10.1007/s10811-014-0337-z
