aphiaID;parentAphiaID;acceptedAphiaID;name;scientificNameAuthorship;acceptedName;kingdom;phylum;class;order;family;genus;taxonRank;taxonomicStatus
145716;144194;145716;Alaria esculenta;(Linnaeus) Greville, 1830;Alaria esculenta;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Alariaceae;Alaria;Species;accepted
145541;144128;145541;Ascophyllum nodosum;(Linnaeus) Le Jolis, 1863;Ascophyllum nodosum;Chromista;Ochrophyta;Phaeophyceae;Fucales;Fucaceae;Ascophyllum;Species;accepted
145503;144125;145503;Bifurcaria bifurcata;R.Ross, 1958;Bifurcaria bifurcata;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Bifurcaria;Species;accepted
145793;144231;145793;Cymodocea nodosa;(Ucria) Ascherson, 1870;Cymodocea nodosa;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Cymodoceaceae;Cymodocea;Species;accepted
145505;144126;145505;Cystoseira algeriensis;Feldmann, 1945;Cystoseira algeriensis;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;accepted
145507;144126;145507;Cystoseira baccata;(S.G.Gmelin) P.C.Silva, 1952;Cystoseira baccata;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;accepted
145511;144126;145511;Cystoseira compressa;(Esper) Gerloff & Nizamuddin, 1975;Cystoseira compressa;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;accepted
145518;144126;145518;Cystoseira foeniculacea;(Linnaeus) Greville, 1830;Cystoseira foeniculacea;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;accepted
145536;144126;145536;Cystoseira tamariscifolia;(Hudson) Papenfuss, 1950;Cystoseira tamariscifolia;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;accepted
145537;144126;145537;Cystoseira usneoides;(Linnaeus) M.Roberts, 1968;Cystoseira usneoides;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;accepted
214343;144195;214343;Ecklonia maxima;(Osbeck) Papenfuss, 1940;Ecklonia maxima;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Lessoniaceae;Ecklonia;Species;accepted
214344;144195;214344;Ecklonia radiata;(C.Agardh) J.Agardh, 1848;Ecklonia radiata;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Lessoniaceae;Ecklonia;Species;accepted
145542;144129;145542;Fucus ceranoides;Linnaeus, 1753;Fucus ceranoides;Chromista;Ochrophyta;Phaeophyceae;Fucales;Fucaceae;Fucus;Species;accepted
145544;144129;145544;Fucus distichus;Linnaeus, 1767;Fucus distichus;Chromista;Ochrophyta;Phaeophyceae;Fucales;Fucaceae;Fucus;Species;accepted
145546;144129;145546;Fucus serratus;Linnaeus, 1753;Fucus serratus;Chromista;Ochrophyta;Phaeophyceae;Fucales;Fucaceae;Fucus;Species;accepted
145547;144129;145547;Fucus spiralis;Linnaeus, 1753;Fucus spiralis;Chromista;Ochrophyta;Phaeophyceae;Fucales;Fucaceae;Fucus;Species;accepted
145548;144129;145548;Fucus vesiculosus;Linnaeus, 1753;Fucus vesiculosus;Chromista;Ochrophyta;Phaeophyceae;Fucales;Fucaceae;Fucus;Species;accepted
145549;144129;145549;Fucus virsoides;J.Agardh, 1868;Fucus virsoides;Chromista;Ochrophyta;Phaeophyceae;Fucales;Fucaceae;Fucus;Species;accepted
374117;369746;1313566;Hesperophycus californicus;P.C.Silva, 1990;Pelvetiopsis californica;Chromista;Ochrophyta;Phaeophyceae;Fucales;Fucaceae;Hesperophycus;Species;unaccepted
373196;144199;373196;Laminaria abyssalis;A.B.Joly & E.C.Oliveira, 1967;Laminaria abyssalis;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
373197;144199;373197;Laminaria brasiliensis;A.B.Joly & E.C.Oliveira, 1967;Laminaria brasiliensis;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
145724;144199;145724;Laminaria digitata;(Hudson) J.V.Lamouroux, 1813;Laminaria digitata;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
145725;144199;145725;Laminaria hyperborea;(Gunnerus) Foslie, 1884;Laminaria hyperborea;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
145728;144199;145728;Laminaria ochroleuca;Bachelot de la Pylaie, 1824;Laminaria ochroleuca;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
214346;144199;214346;Laminaria pallida;Greville, 1848;Laminaria pallida;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
145729;144199;145729;Laminaria rodriguezii;Bornet, 1888;Laminaria rodriguezii;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
145731;144199;145731;Laminaria solidungula;J.Agardh, 1868;Laminaria solidungula;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
666977;369836;666977;Lessonia berteroana;Montagne, 1842;Lessonia berteroana;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Lessoniaceae;Lessonia;Species;accepted
499773;369836;499773;Lessonia flavicans;Bory de Saint-Vincent, 1825;Lessonia flavicans;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Lessoniaceae;Lessonia;Species;accepted
373654;369836;373654;Lessonia nigrescens;Bory de Saint-Vincent, 1826;Lessonia nigrescens;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Lessoniaceae;Lessonia;Species;accepted
837696;369836;837696;Lessonia spicata;(Suhr) Santelices, 2012;Lessonia spicata;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Lessoniaceae;Lessonia;Species;accepted
373655;369836;373655;Lessonia trabeculata;Villouta & Santelices, 1986;Lessonia trabeculata;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Lessoniaceae;Lessonia;Species;accepted
232231;206527;232231;Macrocystis pyrifera;(Linnaeus) C.Agardh, 1820;Macrocystis pyrifera;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Macrocystis;Species;accepted
145550;144130;145550;Pelvetia canaliculata;(Linnaeus) Decaisne & Thuret, 1845;Pelvetia canaliculata;Chromista;Ochrophyta;Phaeophyceae;Fucales;Fucaceae;Pelvetia;Species;accepted
372701;370005;372701;Pelvetiopsis arborescens;N.L.Gardner, 1940;Pelvetiopsis arborescens;Chromista;Ochrophyta;Phaeophyceae;Fucales;Fucaceae;Pelvetiopsis;Species;accepted
372511;370005;372511;Pelvetiopsis limitata;(Setchell) N.L.Gardner, 1910;Pelvetiopsis limitata;Chromista;Ochrophyta;Phaeophyceae;Fucales;Fucaceae;Pelvetiopsis;Species;accepted
145732;144200;145732;Phyllariopsis brevipes;(C.Agardh) E.C.Henry & G.R.South, 1987;Phyllariopsis brevipes;Chromista;Ochrophyta;Phaeophyceae;Tilopteridales;Phyllariaceae;Phyllariopsis;Species;accepted
145733;144200;145733;Phyllariopsis purpurascens;(C.Agardh) E.C.Henry & G.R.South, 1987;Phyllariopsis purpurascens;Chromista;Ochrophyta;Phaeophyceae;Tilopteridales;Phyllariaceae;Phyllariopsis;Species;accepted
145794;144232;145794;Posidonia oceanica;(Linnaeus) Delile, 1813;Posidonia oceanica;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Posidoniaceae;Posidonia;Species;accepted
234483;234482;234483;Saccharina latissima;(Linnaeus) C.E.Lane, C.Mayes, Druehl & G.W.Saunders, 2006;Saccharina latissima;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Saccharina;Species;accepted
145734;144201;145734;Saccorhiza dermatodea;(Bachelot de la Pylaie) J.Agardh, 1868;Saccorhiza dermatodea;Chromista;Ochrophyta;Phaeophyceae;Tilopteridales;Phyllariaceae;Saccorhiza;Species;accepted
145735;144201;145735;Saccorhiza polyschides;(Lightfoot) Batters, 1902;Saccorhiza polyschides;Chromista;Ochrophyta;Phaeophyceae;Tilopteridales;Phyllariaceae;Saccorhiza;Species;accepted
494791;144132;494791;Sargassum muticum;(Yendo) Fensholt, 1955;Sargassum muticum;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Sargassum;Species;accepted
494874;144132;494874;Sargassum thunbergii;(Mertens ex Roth) Kuntze, 1880;Sargassum thunbergii;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Sargassum;Species;accepted
374120;370216;374120;Silvetia compressa;(J.Agardh) E.Serrão, T.O.Cho, S.M.Boo & Brawley, 1999;Silvetia compressa;Chromista;Ochrophyta;Phaeophyceae;Fucales;Fucaceae;Silvetia;Species;accepted
145721;144196;145721;Undaria pinnatifida;(Harvey) Suringar, 1873;Undaria pinnatifida;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Alariaceae;Undaria;Species;accepted
495082;144233;495082;Zostera noltei;Hornemann, 1832;Zostera noltei;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Zosteraceae;Zostera;Species;accepted
495077;144233;145795;Zostera marina;Linnaeus, 1753;Zostera subg. Zostera marina;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Zosteraceae;Zostera;Species;alternate representation
145506;144126;145506;Cystoseira amentacea;(C.Agardh) Bory de Saint-Vincent, 1832;Cystoseira amentacea;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;accepted
374707;370041;374707;Phyllospadix scouleri;W.J.Hooker, 1838;Phyllospadix scouleri;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Cymodoceaceae;Phyllospadix;Species;accepted
374718;369336;374718;Amphibolis antarctica;(Labillardière) Sonder & Ascherson ex Ascherson, 1868;Amphibolis antarctica;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Cymodoceaceae;Amphibolis;Species;accepted
220228;205656;220228;Thalassodendron ciliatum;(Forsskål) Hartog, 1970;Thalassodendron ciliatum;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Cymodoceaceae;Thalassodendron;Species;accepted
374712;144232;374712;Posidonia australis;J.D.Hooker, 1858;Posidonia australis;Plantae;Tracheophyta;Magnoliopsida;Alismatales;Posidoniaceae;Posidonia;Species;accepted
373978;369546;373978;Cymathaere triplicata;(Postels & Ruprecht) J.Agardh, 1868;Cymathaere triplicata;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Cymathaere;Species;accepted
372506;144199;372506;Laminaria ephemera;Setchell, 1901;Laminaria ephemera;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
240748;144199;240748;Laminaria setchellii;P.C.Silva, 1957;Laminaria setchellii;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Laminaria;Species;accepted
240752;240751;240752;Nereocystis luetkeana;(K.Mertens) Postels & Ruprecht, 1840;Nereocystis luetkeana;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Nereocystis;Species;accepted
377082;234482;234483;Saccharina groenlandica;(Rosenvinge) C.E.Lane, C.Mayes, Druehl & G.W.Saunders, 2006;Saccharina latissima;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Laminariaceae;Saccharina;Species;unaccepted
145551;144131;145551;Himanthalia elongata;(Linnaeus) S.F.Gray, 1821;Himanthalia elongata;Chromista;Ochrophyta;Phaeophyceae;Fucales;Himanthaliaceae;Himanthalia;Species;accepted
145556;144132;145556;Sargassum flavifolium;Kützing, 1849;Sargassum flavifolium;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Sargassum;Species;accepted
145540;144127;145540;Halidrys siliquosa;(Linnaeus) Lyngbye, 1819;Halidrys siliquosa;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Halidrys;Species;accepted
145722;144197;145722;Chorda filum;(Linnaeus) Stackhouse, 1797;Chorda filum;Chromista;Ochrophyta;Phaeophyceae;Laminariales;Chordaceae;Chorda;Species;accepted
145520;144126;145520;Cystoseira humilis;Schousboe ex Kützing, 1860;Cystoseira humilis;Chromista;Ochrophyta;Phaeophyceae;Fucales;Sargassaceae;Cystoseira;Species;accepted
